latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.792618,-4.695648,849.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,6.7,0.9,33120.33
2011-01-02,7.8,2.3,33165.68
2011-01-03,6.8,1.6,33215.54
2011-01-04,7.2,2.2,33269.79
2011-01-05,9.0,6.0,33328.28
2011-01-06,12.6,8.7,33390.89
2011-01-07,11.2,8.0,33457.47
2011-01-08,10.7,5.4,33527.88
2011-01-09,6.7,4.1,33601.98
2011-01-10,6.1,2.0,33679.64
2011-01-11,10.1,6.2,33760.72
2011-01-12,7.6,3.1,33845.07
2011-01-13,8.4,1.4,33932.56
2011-01-14,6.8,0.6,34023.06
2011-01-15,8.4,0.5,34116.43
2011-01-16,8.1,-2.0,34212.54
2011-01-17,10.0,0.6,34311.24
2011-01-18,9.7,4.8,34412.41
2011-01-19,9.2,4.3,34515.93
2011-01-20,7.6,-0.5,34621.66
2011-01-21,2.3,-3.0,34729.70
2011-01-22,1.5,-3.6,34841.22
2011-01-23,2.3,-3.5,34956.22
2011-01-24,3.3,-3.8,35074.53
2011-01-25,4.3,-2.8,35195.93
2011-01-26,4.1,-4.0,35320.23
2011-01-27,5.1,-3.0,35447.24
2011-01-28,3.4,-1.6,35576.78
2011-01-29,3.5,-1.9,35708.67
2011-01-30,4.2,-3.2,35842.71
2011-01-31,3.5,-1.8,35978.73
2011-02-01,5.5,-3.1,36116.57
2011-02-02,6.7,-1.8,36256.04
2011-02-03,9.4,-1.7,36396.98
2011-02-04,10.1,-1.4,36539.23
2011-02-05,12.0,-2.1,36682.61
2011-02-06,12.2,-2.7,36826.99
2011-02-07,12.7,-1.6,36972.20
2011-02-08,12.5,-1.8,37118.09
2011-02-09,11.4,-1.1,37264.51
2011-02-10,11.9,-1.2,37411.57
2011-02-11,11.8,-0.3,37560.65
2011-02-12,8.5,0.5,37711.84
2011-02-13,8.2,1.0,37864.95
2011-02-14,5.2,-2.3,38019.83
2011-02-15,7.4,0.9,38176.33
2011-02-16,7.1,0.3,38334.27
2011-02-17,7.2,-0.6,38493.52
2011-02-18,8.0,0.5,38653.91
2011-02-19,9.4,4.3,38815.29
2011-02-20,10.0,1.9,38977.52
2011-02-21,8.6,1.3,39140.47
2011-02-22,11.5,5.9,39303.98
2011-02-23,12.5,1.2,39467.92
2011-02-24,13.0,-0.0,39632.16
2011-02-25,15.6,0.0,39796.55
2011-02-26,14.4,1.8,39960.97
2011-02-27,8.4,0.7,40125.29
2011-02-28,7.2,0.1,40289.38
2011-03-01,5.8,-3.1,40453.10
2011-03-02,6.8,-0.8,40616.58
2011-03-03,6.4,-1.5,40781.11
2011-03-04,7.0,-2.6,40946.81
2011-03-05,9.1,0.1,41113.54
2011-03-06,10.8,-1.9,41281.19
2011-03-07,12.9,-1.7,41449.64
2011-03-08,12.1,1.3,41618.77
2011-03-09,13.8,2.9,41788.46
2011-03-10,15.7,2.2,41958.60
2011-03-11,12.2,0.5,42129.08
2011-03-12,9.8,3.2,42299.76
2011-03-13,8.7,3.9,42470.55
2011-03-14,10.7,1.9,42641.34
2011-03-15,8.4,5.3,42812.00
2011-03-16,11.1,2.8,42982.43
2011-03-17,13.0,3.6,43152.51
2011-03-18,13.8,0.8,43322.13
2011-03-19,14.4,1.6,43491.19
2011-03-20,14.0,1.6,43659.56
2011-03-21,13.8,1.5,43827.14
2011-03-22,12.4,3.8,43994.02
2011-03-23,10.6,1.6,44161.41
2011-03-24,13.0,4.9,44329.42
2011-03-25,15.0,5.3,44497.94
2011-03-26,14.7,4.8,44666.88
2011-03-27,11.2,3.6,44836.12
2011-03-28,10.3,3.0,45005.57
2011-03-29,12.2,6.0,45175.12
2011-03-30,15.4,7.5,45344.67
2011-03-31,17.4,4.2,45514.11
2011-04-01,22.0,4.0,45683.34
2011-04-02,18.2,8.8,45852.24
2011-04-03,10.3,5.9,46020.71
2011-04-04,13.3,5.3,46188.64
2011-04-05,22.2,4.3,46355.93
2011-04-06,24.4,5.8,46522.44
2011-04-07,25.0,6.5,46688.08
2011-04-08,25.9,7.5,46852.72
2011-04-09,23.8,8.6,47016.24
2011-04-10,18.6,9.4,47178.53
2011-04-11,16.9,6.5,47339.66
2011-04-12,17.0,7.3,47500.80
2011-04-13,20.3,3.7,47662.04
2011-04-14,20.3,7.2,47823.26
2011-04-15,16.6,4.0,47984.38
2011-04-16,19.5,4.0,48145.27
2011-04-17,19.8,6.6,48305.84
2011-04-18,21.9,9.4,48465.95
2011-04-19,18.5,9.1,48625.52
2011-04-20,17.3,9.6,48784.39
2011-04-21,18.2,7.8,48942.49
2011-04-22,14.8,8.1,49099.66
2011-04-23,15.2,5.2,49255.79
2011-04-24,15.9,7.4,49410.76
2011-04-25,16.6,8.1,49564.43
2011-04-26,17.2,6.7,49716.66
2011-04-27,18.9,5.9,49867.34
2011-04-28,18.7,6.0,50016.30
2011-04-29,18.8,7.0,50163.43
2011-04-30,17.8,8.3,50308.55
2011-05-01,16.5,8.8,50451.76
2011-05-02,18.4,6.7,50594.11
2011-05-03,17.8,8.1,50735.70
2011-05-04,17.9,6.5,50876.41
2011-05-05,20.7,7.3,51016.13
2011-05-06,20.6,10.0,51154.73
2011-05-07,16.5,9.7,51292.08
2011-05-08,18.5,7.2,51428.06
2011-05-09,22.8,6.5,51562.54
2011-05-10,26.1,9.9,51695.38
2011-05-11,26.2,11.2,51826.45
2011-05-12,22.8,12.9,51955.61
2011-05-13,24.4,11.0,52082.71
2011-05-14,15.9,7.8,52207.62
2011-05-15,17.3,4.7,52330.18
2011-05-16,22.0,5.0,52450.25
2011-05-17,22.7,9.4,52567.68
2011-05-18,22.5,10.3,52682.30
2011-05-19,21.4,10.6,52793.96
2011-05-20,22.7,8.4,52902.52
2011-05-21,24.6,10.4,53007.96
2011-05-22,23.1,12.4,53111.16
2011-05-23,26.8,10.6,53212.20
2011-05-24,27.3,12.7,53310.96
2011-05-25,28.7,12.6,53407.36
2011-05-26,25.5,11.5,53501.27
2011-05-27,18.6,10.3,53592.59
2011-05-28,23.8,8.1,53681.21
2011-05-29,26.1,12.3,53767.04
2011-05-30,22.2,13.7,53849.95
2011-05-31,15.5,8.6,53929.84
2011-06-01,16.1,5.5,54006.59
2011-06-02,18.1,6.1,54080.11
2011-06-03,21.4,7.7,54150.28
2011-06-04,22.5,9.8,54216.97
2011-06-05,23.9,11.2,54280.10
2011-06-06,21.2,11.6,54339.54
2011-06-07,17.2,10.2,54395.18
2011-06-08,17.9,8.9,54446.93
2011-06-09,19.2,7.3,54494.66
2011-06-10,18.7,10.7,54538.35
2011-06-11,22.0,8.8,54578.34
2011-06-12,27.4,11.4,54614.71
2011-06-13,26.1,12.0,54647.43
2011-06-14,27.6,12.0,54676.46
2011-06-15,28.7,13.3,54701.81
2011-06-16,25.2,13.8,54723.46
2011-06-17,25.9,13.2,54741.38
2011-06-18,23.0,11.4,54755.56
2011-06-19,28.2,9.7,54766.01
2011-06-20,31.3,14.0,54772.71
2011-06-21,31.6,16.5,54775.64
2011-06-22,27.5,13.2,54774.82
2011-06-23,25.1,10.4,54770.24
2011-06-24,28.8,9.7,54761.89
2011-06-25,34.3,14.3,54749.78
2011-06-26,36.0,18.1,54733.90
2011-06-27,35.0,20.3,54714.28
2011-06-28,32.6,12.8,54690.89
2011-06-29,21.8,10.2,54663.77
2011-06-30,26.0,7.7,54632.86
2011-07-01,30.1,9.0,54597.84
2011-07-02,32.5,17.0,54558.75
2011-07-03,28.7,16.3,54515.68
2011-07-04,26.1,13.6,54468.74
2011-07-05,28.9,13.8,54418.02
2011-07-06,26.3,13.9,54363.62
2011-07-07,23.3,11.4,54305.63
2011-07-08,25.5,10.5,54244.18
2011-07-09,25.8,13.7,54179.35
2011-07-10,28.0,13.7,54111.24
2011-07-11,31.2,14.5,54039.96
2011-07-12,21.3,13.5,53965.62
2011-07-13,19.3,10.9,53888.30
2011-07-14,22.4,9.4,53808.12
2011-07-15,26.5,11.3,53725.17
2011-07-16,28.2,13.3,53639.56
2011-07-17,22.7,15.0,53551.39
2011-07-18,24.9,9.9,53460.75
2011-07-19,22.4,13.4,53367.74
2011-07-20,26.8,10.4,53272.30
2011-07-21,25.4,13.1,53173.60
2011-07-22,23.6,10.3,53071.63
2011-07-23,24.7,8.9,52966.54
2011-07-24,25.2,10.3,52858.49
2011-07-25,28.1,13.5,52747.64
2011-07-26,28.6,15.0,52634.12
2011-07-27,25.7,12.1,52518.11
2011-07-28,28.2,11.3,52399.72
2011-07-29,30.2,12.2,52279.12
2011-07-30,29.0,14.3,52156.45
2011-07-31,29.9,13.4,52031.84
2011-08-01,31.0,16.7,51905.42
2011-08-02,23.6,15.7,51777.34
2011-08-03,26.1,15.1,51647.72
2011-08-04,29.0,14.0,51516.70
2011-08-05,28.4,17.2,51384.39
2011-08-06,25.5,15.9,51250.92
2011-08-07,26.6,14.3,51116.42
2011-08-08,24.6,12.5,50981.01
2011-08-09,26.2,10.7,50844.60
2011-08-10,30.6,10.0,50706.13
2011-08-11,33.0,14.5,50565.56
2011-08-12,34.2,16.4,50423.03
2011-08-13,30.7,17.9,50278.68
2011-08-14,31.2,17.2,50132.66
2011-08-15,30.6,17.3,49985.09
2011-08-16,33.9,17.4,49836.12
2011-08-17,32.0,18.9,49685.86
2011-08-18,31.3,16.4,49534.45
2011-08-19,34.1,16.9,49382.02
2011-08-20,35.4,18.8,49228.67
2011-08-21,31.2,19.1,49074.54
2011-08-22,22.8,15.3,48919.73
2011-08-23,25.6,14.0,48764.37
2011-08-24,24.5,15.1,48608.57
2011-08-25,26.5,13.1,48452.43
2011-08-26,20.8,13.0,48296.07
2011-08-27,23.7,8.1,48139.58
2011-08-28,26.8,10.3,47983.08
2011-08-29,27.3,10.7,47826.48
2011-08-30,28.0,11.2,47668.67
2011-08-31,23.9,14.8,47509.59
2011-09-01,25.0,15.1,47349.35
2011-09-02,24.0,14.3,47188.07
2011-09-03,24.8,13.2,47025.85
2011-09-04,22.2,12.7,46862.81
2011-09-05,22.9,10.6,46699.05
2011-09-06,27.8,10.3,46534.70
2011-09-07,28.5,12.4,46369.83
2011-09-08,29.9,12.1,46204.57
2011-09-09,32.2,13.7,46039.00
2011-09-10,29.3,15.0,45873.25
2011-09-11,25.1,14.1,45707.39
2011-09-12,28.2,12.6,45541.54
2011-09-13,31.3,14.6,45375.79
2011-09-14,30.8,14.3,45210.23
2011-09-15,31.7,17.8,45044.96
2011-09-16,28.5,15.9,44880.08
2011-09-17,26.3,15.1,44715.68
2011-09-18,20.1,11.7,44551.66
2011-09-19,21.4,7.6,44386.91
2011-09-20,26.6,8.8,44221.31
2011-09-21,28.4,11.3,44055.00
2011-09-22,27.3,12.6,43888.06
2011-09-23,26.0,13.0,43720.61
2011-09-24,23.0,11.4,43552.76
2011-09-25,25.3,9.6,43384.59
2011-09-26,27.5,10.5,43216.22
2011-09-27,28.2,11.2,43047.75
2011-09-28,26.1,14.9,42879.28
2011-09-29,27.2,12.2,42710.92
2011-09-30,26.7,13.2,42542.77
2011-10-01,26.6,13.2,42374.94
2011-10-02,26.2,11.9,42207.52
2011-10-03,27.3,9.4,42040.64
2011-10-04,26.8,11.9,41874.38
2011-10-05,26.9,11.5,41708.86
2011-10-06,26.5,11.0,41544.18
2011-10-07,18.8,10.6,41380.47
2011-10-08,16.9,8.5,41217.61
2011-10-09,19.0,7.1,41054.38
2011-10-10,25.0,7.2,40890.68
2011-10-11,26.9,10.0,40726.64
2011-10-12,27.7,9.1,40562.36
2011-10-13,27.3,10.3,40397.98
2011-10-14,26.4,9.6,40233.59
2011-10-15,25.5,7.4,40069.34
2011-10-16,24.8,8.5,39905.34
2011-10-17,23.6,9.7,39741.71
2011-10-18,23.0,6.3,39578.60
2011-10-19,19.3,8.9,39416.12
2011-10-20,13.7,6.4,39254.40
2011-10-21,16.3,2.1,39093.57
2011-10-22,20.3,3.1,38933.77
2011-10-23,18.1,10.4,38775.15
2011-10-24,14.1,6.9,38617.84
2011-10-25,11.1,5.0,38461.97
2011-10-26,12.0,5.7,38307.71
2011-10-27,12.8,8.5,38155.19
2011-10-28,13.7,5.3,38004.33
2011-10-29,15.5,3.6,37853.79
2011-10-30,17.1,2.7,37703.47
2011-10-31,17.9,5.5,37553.50
2011-11-01,15.3,9.0,37404.05
2011-11-02,16.5,11.3,37255.25
2011-11-03,12.5,7.3,37107.24
2011-11-04,11.3,5.4,36960.19
2011-11-05,10.3,4.7,36814.25
2011-11-06,11.7,3.4,36669.59
2011-11-07,12.8,3.5,36526.35
2011-11-08,13.2,4.1,36384.71
2011-11-09,14.5,7.1,36244.84
2011-11-10,14.7,8.3,36106.91
2011-11-11,17.1,10.5,35971.10
2011-11-12,19.1,9.2,35837.59
2011-11-13,15.1,10.5,35706.55
2011-11-14,14.2,6.7,35578.18
2011-11-15,9.3,3.3,35452.66
2011-11-16,10.3,6.3,35330.18
2011-11-17,12.5,3.5,35210.71
2011-11-18,12.4,4.7,35092.98
2011-11-19,11.4,7.7,34976.88
2011-11-20,12.8,7.1,34862.56
2011-11-21,12.9,4.5,34750.17
2011-11-22,9.9,6.1,34639.85
2011-11-23,12.6,6.4,34531.76
2011-11-24,12.4,4.9,34426.05
2011-11-25,12.9,1.9,34322.88
2011-11-26,11.9,3.4,34222.40
2011-11-27,10.8,0.3,34124.78
2011-11-28,9.4,-0.1,34030.17
2011-11-29,10.8,-0.4,33938.73
2011-11-30,9.7,-1.0,33850.64
2011-12-01,11.0,-0.8,33766.07
2011-12-02,7.5,1.3,33685.16
2011-12-03,6.8,-0.7,33608.10
2011-12-04,7.9,1.6,33535.05
2011-12-05,11.6,5.5,33466.18
2011-12-06,10.7,3.0,33401.66
2011-12-07,10.4,-0.5,33341.52
2011-12-08,7.1,-1.1,33285.00
2011-12-09,5.7,2.0,33232.04
2011-12-10,7.9,3.6,33182.68
2011-12-11,6.6,4.9,33137.00
2011-12-12,9.0,4.6,33095.05
2011-12-13,9.3,4.7,33056.88
2011-12-14,9.3,3.8,33022.54
2011-12-15,8.9,3.5,32992.09
2011-12-16,10.1,1.8,32965.58
2011-12-17,6.2,0.3,32943.06
2011-12-18,5.7,-1.3,32924.58
2011-12-19,5.5,-3.5,32910.18
2011-12-20,9.9,-1.1,32899.91
2011-12-21,8.6,0.7,32893.81
2011-12-22,8.5,1.7,32891.92
2011-12-23,5.0,1.0,32894.27
2011-12-24,6.7,0.9,32900.91
2011-12-25,8.1,-1.1,32911.87
2011-12-26,9.1,-3.0,32927.17
2011-12-27,8.5,-1.9,32946.88
2011-12-28,8.0,-2.7,32971.21
2011-12-29,5.3,-1.3,33000.08
2011-12-30,5.9,-3.5,33033.42
2011-12-31,9.4,-0.9,33071.12
2012-01-01,8.7,0.4,33113.06
2012-01-02,7.6,2.7,33159.16
2012-01-03,7.1,-0.0,33209.29
2012-01-04,8.9,1.4,33263.36
2012-01-05,9.2,2.5,33321.25
2012-01-06,10.8,0.7,33382.86
2012-01-07,8.9,3.6,33448.09
2012-01-08,9.0,-0.4,33516.81
2012-01-09,10.1,1.3,33588.92
2012-01-10,9.9,-2.0,33664.31
2012-01-11,8.7,-3.3,33742.88
2012-01-12,8.2,-2.9,33824.50
2012-01-13,6.6,-3.0,33909.08
2012-01-14,6.5,-3.0,33996.50
2012-01-15,5.3,-1.7,34086.67
2012-01-16,5.1,0.4,34179.66
2012-01-17,6.6,0.7,34276.49
2012-01-18,5.9,-1.6,34377.19
2012-01-19,10.8,2.4,34481.54
2012-01-20,10.2,1.8,34589.37
2012-01-21,10.1,2.7,34700.46
2012-01-22,8.8,1.3,34814.64
2012-01-23,9.5,2.7,34931.73
2012-01-24,10.1,2.3,35051.53
2012-01-25,7.3,-2.4,35173.86
2012-01-26,5.6,-2.1,35298.56
2012-01-27,5.0,0.1,35425.44
2012-01-28,6.1,-1.1,35554.33
2012-01-29,5.7,-2.0,35685.07
2012-01-30,5.9,-2.5,35817.48
2012-01-31,8.7,-1.8,35951.42
2012-02-01,6.8,-1.4,36086.71
2012-02-02,0.3,-3.9,36223.20
2012-02-03,0.9,-4.9,36360.73
2012-02-04,3.1,-5.3,36499.18
2012-02-05,7.1,-2.7,36638.62
2012-02-06,9.4,-1.3,36780.43
2012-02-07,4.4,-3.0,36924.69
2012-02-08,0.2,-3.6,37071.20
2012-02-09,3.9,-2.5,37219.80
2012-02-10,4.3,-3.3,37370.30
2012-02-11,2.2,-5.0,37522.54
2012-02-12,1.7,-4.6,37676.36
2012-02-13,4.5,-4.3,37831.58
2012-02-14,5.3,-0.4,37988.05
2012-02-15,6.6,-1.9,38145.62
2012-02-16,6.3,0.1,38304.13
2012-02-17,7.4,0.2,38463.43
2012-02-18,9.1,-2.4,38623.37
2012-02-19,8.5,-0.9,38783.80
2012-02-20,6.7,-2.4,38944.59
2012-02-21,9.0,-4.2,39105.59
2012-02-22,11.2,-4.2,39266.68
2012-02-23,13.8,-3.1,39427.69
2012-02-24,14.0,-2.1,39588.52
2012-02-25,14.9,-1.1,39749.27
2012-02-26,15.3,3.9,39911.26
2012-02-27,15.1,2.1,40074.61
2012-02-28,16.4,0.9,40239.18
2012-02-29,17.2,0.3,40404.85
2012-03-01,17.5,0.6,40571.48
2012-03-02,13.9,1.3,40738.95
2012-03-03,11.5,3.3,40907.14
2012-03-04,12.7,4.9,41075.91
2012-03-05,8.8,1.7,41245.15
2012-03-06,9.9,-2.2,41414.74
2012-03-07,10.7,-1.8,41584.55
2012-03-08,10.7,0.9,41754.49
2012-03-09,15.2,-0.0,41924.41
2012-03-10,16.4,1.3,42094.22
2012-03-11,14.7,2.2,42263.79
2012-03-12,17.7,2.0,42433.01
2012-03-13,20.2,1.3,42601.76
2012-03-14,22.1,2.0,42769.93
2012-03-15,22.8,2.2,42937.40
2012-03-16,15.9,4.2,43104.28
2012-03-17,13.6,4.7,43271.80
2012-03-18,9.7,2.3,43440.05
2012-03-19,10.4,-2.4,43608.94
2012-03-20,10.3,-1.1,43778.36
2012-03-21,8.7,0.8,43948.21
2012-03-22,13.1,-1.8,44118.37
2012-03-23,18.2,-0.4,44288.75
2012-03-24,20.0,2.6,44459.25
2012-03-25,21.3,2.7,44629.75
2012-03-26,20.4,5.2,44800.16
2012-03-27,19.8,4.3,44970.35
2012-03-28,20.6,3.7,45140.23
2012-03-29,20.5,3.4,45309.68
2012-03-30,20.9,5.8,45478.61
2012-03-31,21.4,6.9,45646.89
2012-04-01,20.0,6.0,45814.43
2012-04-02,18.9,4.8,45981.09
2012-04-03,12.8,6.0,46146.77
2012-04-04,10.7,4.2,46311.36
2012-04-05,9.5,3.7,46474.94
2012-04-06,7.9,1.7,46638.66
2012-04-07,8.2,0.8,46802.65
2012-04-08,13.8,2.0,46966.78
2012-04-09,18.0,1.5,47130.96
2012-04-10,11.2,5.7,47295.09
2012-04-11,8.7,3.5,47459.06
2012-04-12,10.2,3.9,47622.75
2012-04-13,11.2,1.9,47786.06
2012-04-14,11.4,3.6,47948.87
2012-04-15,10.0,1.0,48111.07
2012-04-16,10.1,0.8,48272.55
2012-04-17,14.9,0.4,48433.18
2012-04-18,7.8,3.0,48592.84
2012-04-19,11.9,4.3,48751.41
2012-04-20,14.3,5.7,48908.76
2012-04-21,14.8,6.4,49064.76
2012-04-22,13.6,3.1,49219.29
2012-04-23,12.0,3.6,49372.20
2012-04-24,10.8,2.1,49523.36
2012-04-25,13.1,4.9,49672.82
2012-04-26,10.3,5.4,49821.72
2012-04-27,9.4,5.2,49970.13
2012-04-28,8.1,3.5,50117.95
2012-04-29,10.7,2.5,50265.05
2012-04-30,11.7,1.2,50411.31
2012-05-01,12.4,1.1,50556.62
2012-05-02,15.9,2.4,50700.84
2012-05-03,14.5,5.4,50843.86
2012-05-04,12.8,5.4,50985.54
2012-05-05,14.0,6.2,51125.73
2012-05-06,13.7,2.9,51264.32
2012-05-07,15.5,4.6,51401.17
2012-05-08,19.2,11.6,51536.12
2012-05-09,23.2,9.9,51669.04
2012-05-10,27.5,9.2,51799.76
2012-05-11,29.3,12.8,51928.16
2012-05-12,28.2,15.7,52054.06
2012-05-13,23.3,11.9,52177.32
2012-05-14,25.0,10.6,52297.78
2012-05-15,20.4,7.6,52415.46
2012-05-16,25.8,6.2,52531.31
2012-05-17,25.3,15.2,52645.40
2012-05-18,20.7,8.5,52757.62
2012-05-19,15.5,7.5,52867.87
2012-05-20,14.0,4.4,52976.02
2012-05-21,16.3,5.4,53081.95
2012-05-22,18.5,6.7,53185.54
2012-05-23,24.0,7.5,53286.68
2012-05-24,26.7,9.8,53385.24
2012-05-25,29.3,12.3,53481.11
2012-05-26,20.8,10.0,53574.14
2012-05-27,22.3,7.2,53664.22
2012-05-28,25.8,9.7,53751.22
2012-05-29,27.2,11.4,53835.01
2012-05-30,28.9,12.6,53915.46
2012-05-31,31.7,13.3,53992.45
2012-06-01,32.8,16.8,54065.84
2012-06-02,25.4,15.0,54135.49
2012-06-03,22.8,13.5,54201.29
2012-06-04,23.2,10.9,54263.21
2012-06-05,27.7,11.2,54321.77
2012-06-06,25.3,13.7,54377.02
2012-06-07,21.8,14.3,54428.92
2012-06-08,20.6,9.8,54477.40
2012-06-09,22.3,9.5,54522.45
2012-06-10,24.3,15.1,54563.99
2012-06-11,18.8,10.8,54601.99
2012-06-12,18.8,8.6,54636.41
2012-06-13,22.8,8.0,54667.21
2012-06-14,27.2,9.8,54694.34
2012-06-15,26.8,11.1,54717.77
2012-06-16,25.3,12.8,54737.45
2012-06-17,28.2,13.0,54753.36
2012-06-18,27.0,13.1,54765.46
2012-06-19,28.7,13.3,54773.73
2012-06-20,27.3,13.9,54778.11
2012-06-21,23.7,15.9,54778.60
2012-06-22,27.0,9.9,54775.16
2012-06-23,30.1,11.0,54767.78
2012-06-24,32.2,14.0,54756.40
2012-06-25,34.2,16.3,54740.89
2012-06-26,36.7,17.7,54721.28
2012-06-27,36.5,20.3,54697.63
2012-06-28,32.4,19.6,54670.03
2012-06-29,25.6,14.5,54638.55
2012-06-30,21.4,11.5,54603.25
2012-07-01,22.2,9.0,54564.21
2012-07-02,27.0,10.2,54521.51
2012-07-03,29.9,13.4,54475.22
2012-07-04,27.2,14.0,54425.43
2012-07-05,24.4,13.2,54372.21
2012-07-06,24.6,11.8,54315.64
2012-07-07,25.4,12.5,54255.80
2012-07-08,26.8,10.2,54192.78
2012-07-09,28.2,12.9,54126.65
2012-07-10,26.7,12.7,54057.49
2012-07-11,26.0,12.4,53985.40
2012-07-12,29.5,10.9,53910.45
2012-07-13,28.6,13.7,53832.71
2012-07-14,24.8,13.2,53752.14
2012-07-15,25.0,10.9,53668.02
2012-07-16,30.2,11.5,53580.32
2012-07-17,33.4,15.1,53489.23
2012-07-18,35.3,17.0,53394.88
2012-07-19,31.8,15.6,53297.41
2012-07-20,27.7,13.4,53196.98
2012-07-21,28.2,12.6,53093.71
2012-07-22,29.6,12.5,52987.77
2012-07-23,31.8,13.1,52879.29
2012-07-24,33.4,15.5,52768.39
2012-07-25,32.8,17.2,52655.24
2012-07-26,31.6,18.3,52539.95
2012-07-27,25.5,16.7,52422.65
2012-07-28,24.6,15.0,52303.49
2012-07-29,26.2,13.9,52182.58
2012-07-30,28.8,13.5,52060.04
2012-07-31,31.8,14.4,51936.02
2012-08-01,28.4,13.9,51810.62
2012-08-02,27.9,14.2,51683.96
2012-08-03,28.9,12.9,51555.97
2012-08-04,27.6,13.7,51425.62
2012-08-05,23.7,13.4,51292.88
2012-08-06,24.3,10.7,51157.89
2012-08-07,30.6,13.9,51020.81
2012-08-08,33.3,17.4,50881.77
2012-08-09,36.1,18.4,50740.94
2012-08-10,38.2,19.6,50598.44
2012-08-11,32.0,18.9,50454.40
2012-08-12,27.4,15.1,50308.98
2012-08-13,28.3,14.1,50162.29
2012-08-14,29.4,16.3,50014.46
2012-08-15,24.0,15.8,49865.64
2012-08-16,28.4,11.4,49715.92
2012-08-17,34.8,14.2,49565.44
2012-08-18,35.9,16.9,49414.32
2012-08-19,34.1,18.2,49262.66
2012-08-20,34.4,18.4,49110.59
2012-08-21,34.2,17.2,48958.21
2012-08-22,33.6,16.0,48805.64
2012-08-23,30.6,15.3,48652.78
2012-08-24,26.6,14.9,48498.54
2012-08-25,25.5,14.6,48342.86
2012-08-26,27.6,11.9,48185.85
2012-08-27,30.2,13.8,48027.64
2012-08-28,28.1,14.5,47868.34
2012-08-29,28.0,15.9,47708.07
2012-08-30,23.4,12.5,47546.94
2012-08-31,22.2,9.4,47385.07
2012-09-01,22.3,8.5,47222.56
2012-09-02,22.4,8.3,47059.52
2012-09-03,23.3,10.3,46896.05
2012-09-04,23.8,10.4,46732.27
2012-09-05,25.6,11.3,46568.27
2012-09-06,28.9,12.8,46404.14
2012-09-07,30.3,14.5,46240.01
2012-09-08,29.8,15.0,46075.95
2012-09-09,27.5,15.5,45912.07
2012-09-10,25.1,15.4,45748.46
2012-09-11,27.3,13.2,45585.23
2012-09-12,26.7,14.0,45422.27
2012-09-13,23.5,11.0,45258.47
2012-09-14,27.0,8.9,45093.76
2012-09-15,30.4,11.4,44928.22
2012-09-16,29.6,12.3,44761.97
2012-09-17,28.6,14.4,44595.12
2012-09-18,25.9,14.6,44427.76
2012-09-19,22.6,12.7,44260.00
2012-09-20,27.3,10.9,44091.95
2012-09-21,26.3,16.9,43923.70
2012-09-22,27.9,13.3,43755.34
2012-09-23,21.9,13.8,43586.99
2012-09-24,18.4,11.6,43418.75
2012-09-25,15.6,10.4,43250.70
2012-09-26,14.0,6.7,43082.96
2012-09-27,17.6,6.5,42915.62
2012-09-28,17.4,10.2,42748.80
2012-09-29,15.0,9.1,42582.57
2012-09-30,15.1,6.5,42417.06
2012-10-01,19.0,5.5,42252.36
2012-10-02,19.7,7.0,42088.36
2012-10-03,20.5,6.9,41923.88
2012-10-04,20.6,6.7,41758.83
2012-10-05,23.3,7.5,41593.30
2012-10-06,21.4,9.8,41427.43
2012-10-07,24.4,12.0,41261.32
2012-10-08,25.5,12.7,41095.09
2012-10-09,24.5,12.0,40928.84
2012-10-10,22.0,14.5,40762.70
2012-10-11,19.0,13.3,40596.79
2012-10-12,15.9,9.4,40431.22
2012-10-13,17.7,5.4,40266.11
2012-10-14,15.8,6.2,40101.59
2012-10-15,14.2,3.3,39937.78
2012-10-16,18.9,6.7,39774.80
2012-10-17,17.7,9.6,39612.79
2012-10-18,12.6,7.3,39451.86
2012-10-19,12.4,6.2,39292.16
2012-10-20,15.3,5.3,39133.82
2012-10-21,13.3,7.1,38976.98
2012-10-22,16.6,4.9,38821.52
2012-10-23,19.6,8.6,38666.16
2012-10-24,19.4,8.6,38510.77
2012-10-25,17.4,6.8,38355.51
2012-10-26,14.3,8.2,38200.51
2012-10-27,10.1,2.7,38045.89
2012-10-28,7.9,-0.1,37891.82
2012-10-29,10.7,-1.6,37738.42
2012-10-30,5.8,0.6,37585.86
2012-10-31,10.4,1.3,37434.28
2012-11-01,10.7,5.9,37283.84
2012-11-02,13.0,7.5,37134.68
2012-11-03,16.0,8.6,36986.98
2012-11-04,11.5,4.2,36840.88
2012-11-05,9.5,2.3,36696.58
2012-11-06,9.5,0.9,36554.22
2012-11-07,9.6,0.9,36413.99
2012-11-08,13.7,8.0,36276.07
2012-11-09,12.9,7.0,36140.62
2012-11-10,9.3,3.8,36007.84
2012-11-11,8.1,0.7,35877.66
2012-11-12,8.9,0.3,35748.77
2012-11-13,10.9,1.2,35621.07
2012-11-14,16.2,2.6,35494.70
2012-11-15,15.3,7.1,35369.81
2012-11-16,14.9,7.3,35246.57
2012-11-17,12.9,6.1,35125.13
2012-11-18,9.8,4.7,35005.65
2012-11-19,12.2,2.2,34888.29
2012-11-20,12.5,2.9,34773.22
